Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (absorbance units),90th Percentile (absorbance units),Mean (absorbance units),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Summer 2012,Citywide,New York City, New York City,1,Black Carbon,0.8,1.3,1,,,
Summer 2013,Citywide,New York City, New York City,1,Black Carbon,0.6,1.3,1,,,
Summer 2014,Citywide,New York City, New York City,1,Black Carbon,0.6,1.3,0.9,,,
Summer 2015,Citywide,New York City, New York City,1,Black Carbon,0.6,1.3,0.9,,,
Summer 2016,Citywide,New York City, New York City,1,Black Carbon,0.6,1.2,0.8,,,
Summer 2017,Citywide,New York City, New York City,1,Black Carbon,0.6,1.2,0.9,,,
Summer 2018,Citywide,New York City, New York City,1,Black Carbon,0.5,1,0.8,,,
Winter 2012-13,Citywide,New York City, New York City,1,Black Carbon,0.7,1.4,1,,,
Winter 2013-14,Citywide,New York City, New York City,1,Black Carbon,0.7,1.4,1,,,
Winter 2014-15,Citywide,New York City, New York City,1,Black Carbon,0.6,1.2,0.8,,,
Winter 2015-16,Citywide,New York City, New York City,1,Black Carbon,0.6,1.1,0.8,,,
Winter 2016-17,Citywide,New York City, New York City,1,Black Carbon,0.5,1,0.7,,,
Winter 2017-18,Citywide,New York City, New York City,1,Black Carbon,0.6,1,0.8,,,
Summer 2012,Borough,Bronx, Bronx,1,Black Carbon,0.9,1.3,1.1,,,
Summer 2013,Borough,Bronx, Bronx,1,Black Carbon,0.9,1.4,1.1,,,
Summer 2014,Borough,Bronx, Bronx,1,Black Carbon,0.9,1.3,1.1,,,
Summer 2015,Borough,Bronx, Bronx,1,Black Carbon,0.9,1.3,1.1,,,
Summer 2016,Borough,Bronx, Bronx,1,Black Carbon,0.7,1.2,1,,,
Summer 2017,Borough,Bronx, Bronx,1,Black Carbon,0.9,1.2,1.1,,,
Summer 2018,Borough,Bronx, Bronx,1,Black Carbon,0.8,1,0.9,,,
Winter 2012-13,Borough,Bronx, Bronx,1,Black Carbon,1.1,1.6,1.3,,,
Winter 2013-14,Borough,Bronx, Bronx,1,Black Carbon,0.9,1.5,1.2,,,
Winter 2014-15,Borough,Bronx, Bronx,1,Black Carbon,0.8,1.2,1,,,
Winter 2015-16,Borough,Bronx, Bronx,1,Black Carbon,0.7,1.1,0.9,,,
Winter 2016-17,Borough,Bronx, Bronx,1,Black Carbon,0.8,1.1,0.9,,,
Winter 2017-18,Borough,Bronx, Bronx,1,Black Carbon,0.7,1,0.9,,,
Summer 2012,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.8,1.4,1,,,
Summer 2013,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.7,1.3,1,,,
Summer 2014,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.6,1.3,0.9,,,
Summer 2015,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.7,1.2,0.9,,,
Summer 2016,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.6,1.2,0.9,,,
Summer 2017,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.6,1.1,0.8,,,
Summer 2018,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.5,1.1,0.8,,,
Winter 2012-13,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.8,1.2,1,,,
Winter 2013-14,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.6,1.2,0.9,,,
Winter 2014-15,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.6,1.1,0.8,,,
Winter 2015-16,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.6,1.1,0.8,,,
Winter 2016-17,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.6,1,0.7,,,
Winter 2017-18,Borough,Brooklyn, Brooklyn,2,Black Carbon,0.6,1,0.8,,,
Summer 2012,Borough,Manhattan, Manhattan,3,Black Carbon,1.1,1.8,1.4,,,
Summer 2013,Borough,Manhattan, Manhattan,3,Black Carbon,1.1,2,1.5,,,
Summer 2014,Borough,Manhattan, Manhattan,3,Black Carbon,1.1,2,1.5,,,
Summer 2015,Borough,Manhattan, Manhattan,3,Black Carbon,1.1,1.8,1.4,,,
Summer 2016,Borough,Manhattan, Manhattan,3,Black Carbon,1,1.8,1.4,,,
Summer 2017,Borough,Manhattan, Manhattan,3,Black Carbon,1,1.4,1.2,,,
Summer 2018,Borough,Manhattan, Manhattan,3,Black Carbon,0.9,1.5,1.1,,,
Winter 2012-13,Borough,Manhattan, Manhattan,3,Black Carbon,1.2,1.9,1.5,,,
Winter 2013-14,Borough,Manhattan, Manhattan,3,Black Carbon,1.2,1.9,1.5,,,
Winter 2014-15,Borough,Manhattan, Manhattan,3,Black Carbon,1,1.6,1.3,,,
Winter 2015-16,Borough,Manhattan, Manhattan,3,Black Carbon,0.9,1.7,1.2,,,
Winter 2016-17,Borough,Manhattan, Manhattan,3,Black Carbon,0.8,1.1,1,,,
Winter 2017-18,Borough,Manhattan, Manhattan,3,Black Carbon,0.8,1.3,1,,,
Summer 2012,Borough,Queens, Queens,4,Black Carbon,0.8,1.2,1,,,
Summer 2013,Borough,Queens, Queens,4,Black Carbon,0.7,1.2,1,,,
Summer 2014,Borough,Queens, Queens,4,Black Carbon,0.6,1.1,0.8,,,
Summer 2015,Borough,Queens, Queens,4,Black Carbon,0.6,1.1,0.9,,,
Summer 2016,Borough,Queens, Queens,4,Black Carbon,0.6,1,0.8,,,
Summer 2017,Borough,Queens, Queens,4,Black Carbon,0.6,1.1,0.8,,,
Summer 2018,Borough,Queens, Queens,4,Black Carbon,0.6,0.9,0.8,,,
Winter 2012-13,Borough,Queens, Queens,4,Black Carbon,0.7,1.1,0.9,,,
Winter 2013-14,Borough,Queens, Queens,4,Black Carbon,0.6,1.2,0.9,,,
Winter 2014-15,Borough,Queens, Queens,4,Black Carbon,0.6,1,0.8,,,
Winter 2015-16,Borough,Queens, Queens,4,Black Carbon,0.7,1,0.8,,,
Winter 2016-17,Borough,Queens, Queens,4,Black Carbon,0.5,0.9,0.7,,,
Winter 2017-18,Borough,Queens, Queens,4,Black Carbon,0.6,0.9,0.7,,,
Summer 2012,Borough,Staten Island, Staten Island,5,Black Carbon,0.8,1,0.9,,,
Summer 2013,Borough,Staten Island, Staten Island,5,Black Carbon,0.6,0.9,0.7,,,
Summer 2014,Borough,Staten Island, Staten Island,5,Black Carbon,0.6,0.9,0.7,,,
Summer 2015,Borough,Staten Island, Staten Island,5,Black Carbon,0.6,0.8,0.7,,,
Summer 2016,Borough,Staten Island, Staten Island,5,Black Carbon,0.6,0.8,0.7,,,
Summer 2017,Borough,Staten Island, Staten Island,5,Black Carbon,0.6,0.9,0.7,,,
Summer 2018,Borough,Staten Island, Staten Island,5,Black Carbon,0.5,0.7,0.6,,,
Winter 2012-13,Borough,Staten Island, Staten Island,5,Black Carbon,0.6,0.9,0.7,,,
Winter 2013-14,Borough,Staten Island, Staten Island,5,Black Carbon,0.8,1.1,0.9,,,
Winter 2014-15,Borough,Staten Island, Staten Island,5,Black Carbon,0.5,0.8,0.7,,,
Winter 2015-16,Borough,Staten Island, Staten Island,5,Black Carbon,0.5,0.8,0.7,,,
Winter 2016-17,Borough,Staten Island, Staten Island,5,Black Carbon,0.4,0.7,0.6,,,
Winter 2017-18,Borough,Staten Island, Staten Island,5,Black Carbon,0.6,0.8,0.7,,,
Summer 2012,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.8,1.1,0.9,,,
Summer 2013,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.8,1.1,1,,,
Summer 2014,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.7,0.9,0.8,,,
Summer 2015,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.7,1,0.9,,,
Summer 2016,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.7,0.9,0.8,,,
Summer 2017,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.6,0.8,0.7,,,
Summer 2018,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.7,0.8,0.8,,,
Winter 2012-13,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.7,1,0.9,,,
Winter 2013-14,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.9,1.1,1,,,
Winter 2014-15,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.7,0.9,0.8,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.7,1,0.8,,,
Winter 2016-17,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.6,0.8,0.7,,,
Winter 2017-18,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Black Carbon,0.6,0.7,0.7,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.9,1.1,1,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.9,1.2,1,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1.1,0.9,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1.1,0.9,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1,0.9,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1,0.9,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,0.9,0.8,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,1.1,0.9,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.7,1,0.8,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.7,0.9,0.8,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.7,1,0.8,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.7,0.8,0.7,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Black Carbon,0.8,0.9,0.8,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.8,1.1,0.9,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,1,0.8,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,1,0.8,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,1,0.8,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,0.9,0.8,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,0.9,0.8,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.6,0.8,0.7,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.9,1.1,1,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,1,0.8,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.6,0.9,0.7,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.7,0.9,0.8,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.6,0.7,0.6,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Black Carbon,0.6,0.7,0.7,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.9,1,0.9,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.8,0.9,0.9,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.7,0.9,0.8,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.7,0.9,0.8,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.7,0.8,0.8,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.7,0.9,0.8,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.6,0.8,0.7,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.9,1,0.9,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.7,0.9,0.8,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.7,0.8,0.7,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.7,0.8,0.8,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.6,0.7,0.7,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Black Carbon,0.6,0.8,0.7,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.7,1.1,0.9,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.7,1.1,0.8,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.7,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.6,1,0.7,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.6,0.9,0.7,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.7,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.4,0.8,0.6,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.7,1,0.8,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.7,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.7,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.6,0.9,0.7,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.4,0.8,0.6,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Black Carbon,0.5,0.9,0.6,,,
Summer 2012,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.2,1.3,1.3,,,
Summer 2013,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.2,1.4,1.3,,,
Summer 2014,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.2,1.4,1.3,,,
Summer 2015,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.3,1.2,,,
Summer 2016,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.3,1.1,,,
Summer 2017,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.2,1.2,,,
Summer 2018,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,0.9,1,0.9,,,
Winter 2012-13,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.4,1.6,1.5,,,
Winter 2013-14,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.4,1.5,1.4,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.2,1.1,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1,1.2,1.1,,,
Winter 2016-17,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,0.9,1,1,,,
Winter 2017-18,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,0.9,0.9,0.9,,,
Summer 2012,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.4,2,1.7,,,
