,CD,CDname,2012-05-01,2012-11-01,2013-05-01,2013-11-01,2014-05-01,2014-11-01,2015-05-01,2015-11-01,2016-05-01,2016-11-01,2017-05-01,2017-11-01,2018-05-01
0,101, Financial District ,1.4,1.2,1.4,1.3,1.4,1.2,1.3,1.1,1.2,0.9,1.1,1.1,1.3
1,102, Greenwich Village and Soho ,1.7,1.7,1.9,1.7,1.9,1.5,1.7,1.5,1.7,1.1,1.4,1.1,1.3
2,103, Lower East Side and Chinatown ,1.5,1.4,1.6,1.4,1.6,1.3,1.4,1.3,1.4,1.0,1.2,1.0,1.1
3,104, Clinton and Chelsea ,1.6,1.6,1.7,1.6,1.7,1.4,1.6,1.4,1.5,1.1,1.3,1.2,1.4
4,105, Midtown ,1.8,1.8,1.9,1.9,1.9,1.6,1.8,1.6,1.8,1.1,1.4,1.4,1.7
5,106, Stuyvesant Town and Turtle Bay ,1.6,1.5,1.6,1.6,1.6,1.4,1.5,1.4,1.5,1.0,1.2,1.2,1.3
6,107, Upper West Side ,1.3,1.5,1.4,1.5,1.4,1.2,1.3,1.1,1.3,0.9,1.2,0.9,1.0
7,108, Upper East Side ,1.5,1.6,1.6,1.6,1.6,1.3,1.5,1.3,1.5,0.9,1.2,1.0,1.1
8,109, Morningside Heights and Hamilton Heights ,1.2,1.5,1.3,1.4,1.3,1.1,1.2,1.0,1.1,0.9,1.1,0.9,0.9
9,110, Central Harlem ,1.3,1.5,1.4,1.5,1.3,1.1,1.3,1.1,1.2,1.0,1.2,0.9,0.9
10,111, East Harlem ,1.3,1.5,1.3,1.5,1.3,1.1,1.2,1.1,1.2,0.9,1.1,0.9,0.9
11,112, Washington Heights and Inwood ,1.2,1.5,1.2,1.3,1.2,1.1,1.1,1.0,1.1,0.9,1.1,0.9,0.9
12,201, Mott Haven and Melrose ,1.3,1.5,1.3,1.5,1.3,1.2,1.3,1.1,1.2,1.1,1.2,1.0,1.0
13,202, Hunts Point and Longwood ,1.3,1.4,1.3,1.4,1.2,1.1,1.2,1.1,1.1,1.1,1.3,1.1,1.1
14,203, Morrisania and Crotona ,1.2,1.4,1.2,1.3,1.1,1.1,1.1,1.0,1.0,0.9,1.1,0.9,0.9
15,204, Highbridge and Concourse ,1.3,1.6,1.3,1.4,1.3,1.1,1.2,1.1,1.1,1.0,1.2,1.0,1.0
16,205, Fordham and University Heights ,1.3,1.6,1.4,1.4,1.3,1.2,1.3,1.1,1.2,1.0,1.2,1.0,1.0
17,206, Belmont and East Tremont ,1.2,1.5,1.3,1.3,1.2,1.1,1.2,1.0,1.1,1.0,1.1,0.9,0.9
18,207, Kingsbridge Heights and Bedford ,1.1,1.4,1.2,1.2,1.1,1.0,1.1,1.0,1.0,1.0,1.1,0.9,0.9
19,208, Riverdale and Fieldston ,1.0,1.3,1.0,1.1,1.0,0.9,1.0,0.8,0.8,0.8,1.0,0.8,0.8
20,209, Parkchester and Soundview ,1.1,1.2,1.1,1.2,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.8,0.9
21,210, Throgs Neck and Co-op City ,1.1,1.2,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.9,0.8,0.8
22,211, Morris Park and Bronxdale ,1.0,1.2,1.0,1.1,1.0,0.9,1.0,0.9,0.9,0.9,1.0,0.8,0.9
23,212, Williamsbridge and Baychester ,1.0,1.2,1.0,1.0,1.0,0.9,1.0,0.8,0.9,0.9,1.0,0.8,0.9
24,301, Greenpoint and Williamsburg ,1.4,1.3,1.4,1.3,1.4,1.3,1.3,1.2,1.3,1.1,1.2,1.1,1.2
25,302, Fort Greene and Brooklyn Heights ,1.3,1.1,1.2,1.1,1.2,1.1,1.1,1.0,1.1,0.8,1.0,0.9,1.0
26,303, Bedford Stuyvesant ,1.0,0.9,1.0,0.8,0.9,0.8,0.9,0.8,0.9,0.7,0.9,0.8,0.9
27,304, Bushwick ,1.1,0.9,1.1,0.9,1.0,0.9,1.0,0.9,0.9,0.8,1.0,0.9,0.9
28,305, East New York and Starrett City ,1.0,0.9,1.0,0.8,0.9,0.8,0.9,0.8,0.8,0.7,0.8,0.8,0.7
