field_1,CD,CDname,Summer2013,Winter2013,Summer2014,Winter2014,Summer2015,Winter2015,Summer2016,Winter2016,Summer2017,Winter2017,Summer2018
"0","101", Financial District ,20.100,49.500,23.900,38.600,19.700,35.100,15.500,28.200,13.300,31.100,12.100
"1","102", Greenwich Village and Soho ,21.900,58.400,30.300,44.100,21.600,43.600,22.200,36.300,19.300,38.300,17.600
"2","103", Lower East Side and Chinatown ,16.500,49.900,22.800,37.300,16.500,36.500,17.200,29.400,15.000,29.900,13.000
"3","104", Clinton and Chelsea ,20.900,52.000,26.100,39.200,20.000,37.200,16.600,30.600,15.000,30.900,13.800
"4","105", Midtown ,30.500,63.000,36.200,49.300,28.700,41.100,18.700,33.500,16.900,33.200,14.800
"5","106", Stuyvesant Town and Turtle Bay ,26.800,57.000,30.900,44.900,25.500,38.300,16.300,30.300,14.800,29.100,12.600
"6","107", Upper West Side ,21.400,51.100,26.500,38.300,19.500,31.700,13.400,28.000,12.500,26.700,12.200
"7","108", Upper East Side ,24.600,55.900,30.200,42.600,22.400,38.600,16.600,32.800,15.600,30.500,14.300
"8","109", Morningside Heights and Hamilton Heights ,13.400,39.400,17.800,28.900,12.600,24.900,9.300,22.900,8.900,20.900,8.500
"9","110", Central Harlem ,11.900,39.100,17.200,28.500,11.500,25.400,9.400,23.600,9.000,21.200,8.700
"10","111", East Harlem ,14.400,40.600,18.400,30.400,13.900,27.600,9.800,24.200,9.500,21.500,8.900
"11","112", Washington Heights and Inwood ,13.200,35.800,16.800,27.200,11.900,24.100,9.000,22.800,8.600,21.700,9.100
"12","201", Mott Haven and Melrose ,11.600,35.000,14.800,26.500,11.000,24.800,8.200,22.300,8.000,19.200,7.700
"13","202", Hunts Point and Longwood ,10.100,31.900,13.000,25.000,9.600,24.200,7.800,21.900,7.500,18.400,7.200
"14","203", Morrisania and Crotona ,10.300,32.300,13.700,25.300,9.900,23.400,7.900,21.800,7.500,18.800,7.200
"15","204", Highbridge and Concourse ,14.000,36.600,17.300,28.300,13.000,25.200,8.700,23.100,8.500,20.500,7.900
"16","205", Fordham and University Heights ,14.800,37.200,18.700,29.400,13.800,25.900,9.400,24.000,9.000,21.300,8.100
