Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Summer 2013,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),8.4,20,15.2,,,
Summer 2014,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),8,18.3,13.9,,,
Summer 2015,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),7.5,18,13.6,,,
Summer 2016,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),7.4,17.3,13.2,,,
Summer 2017,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),8.2,17.4,13.4,,,
Summer 2018,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),6.9,16.8,12.3,,,
Summer 2019,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),8.1,17.8,13,,,
Winter 2013-14,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),21,30.2,26.3,,,
Winter 2014-15,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),19,27.1,23.7,,,
Winter 2015-16,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),17.2,25.8,22.1,,,
Winter 2016-17,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),18.3,27.8,24.1,,,
Winter 2017-18,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),17.3,27.6,23.1,,,
Winter 2018-19,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),14.9,25.2,20.3,,,
Summer 2013,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),12.1,19.7,15.9,,,
Summer 2014,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),12.2,18.6,15.8,,,
Summer 2015,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),12.7,18.6,16,,,
Summer 2016,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),11.8,17.5,14.9,,,
Summer 2017,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),11.5,17.9,15,,,
Summer 2018,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),10.6,16.3,13.6,,,
Summer 2019,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),10.3,15.9,13.1,,,
Winter 2013-14,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),22.4,29,25.9,,,
Winter 2014-15,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),20.8,26.5,23.9,,,
Winter 2015-16,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),19,25.1,22.3,,,
Winter 2016-17,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),23.5,28.4,26.4,,,
Winter 2017-18,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),20,27.4,23.6,,,
Winter 2018-19,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),17.6,24.3,20.9,,,
Summer 2013,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),10.5,19.8,15.8,,,
Summer 2014,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),10.5,17.8,14.5,,,
Summer 2015,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),10.1,17.4,14.1,,,
Summer 2016,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),9.5,17.1,13.6,,,
Summer 2017,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),9.6,16.6,13.4,,,
