Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),Mean (mcg per cubic meter),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Summer 2013,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),9.1,11.3,10.2,,,
Summer 2014,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),7.5,9.9,8.5,,,
Summer 2015,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),8.4,10.6,9.4,,,
Summer 2016,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),7.2,9.4,8.1,,,
Summer 2017,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),7.8,10.3,8.9,,,
Summer 2018,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),7.3,9.4,8.3,,,
Summer 2019,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),7.1,9.1,7.9,,,
Winter 2013-14,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),10.6,13.4,11.9,,,
Winter 2014-15,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),7.9,10.7,9.1,,,
Winter 2015-16,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),6.9,9.6,8,,,
Winter 2016-17,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),6.9,8.9,7.9,,,
Winter 2017-18,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),7.4,9.4,8.2,,,
Winter 2018-19,Citywide,New York City, New York City,1,Fine Particulate Matter (PM2.5),6.3,8.5,7.3,,,
Summer 2013,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),9.7,11.3,10.4,,,
Summer 2014,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),8.2,9.7,8.8,,,
Summer 2015,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),9.3,10.8,9.9,,,
Summer 2016,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),7.5,9.3,8.3,,,
Summer 2017,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),8.9,10.5,9.6,,,
Summer 2018,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),8,9.2,8.6,,,
Summer 2019,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),7.5,8.7,8,,,
Winter 2013-14,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),11.7,13.5,12.5,,,
Winter 2014-15,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),9.5,11.1,10.2,,,
Winter 2015-16,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),7.7,9.3,8.4,,,
Winter 2016-17,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),7.7,9.1,8.3,,,
Winter 2017-18,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),7.7,8.8,8.3,,,
Winter 2018-19,Borough,Bronx, Bronx,1,Fine Particulate Matter (PM2.5),6.8,8.3,7.5,,,
Summer 2013,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),9.5,11.3,10.3,,,
Summer 2014,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),7.9,10.2,8.8,,,
Summer 2015,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),8.6,10.7,9.5,,,
Summer 2016,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),7.5,9.5,8.3,,,
Summer 2017,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),8.2,10.5,9.1,,,
Summer 2018,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),7.7,9.4,8.4,,,
Summer 2019,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),7.5,9.3,8.2,,,
Winter 2013-14,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),10.8,13.2,11.9,,,
Winter 2014-15,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),8,10.4,9,,,
Winter 2015-16,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),7,10,8.4,,,
Winter 2016-17,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),7.3,9,7.9,,,
Winter 2017-18,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),7.7,9.7,8.5,,,
Winter 2018-19,Borough,Brooklyn, Brooklyn,2,Fine Particulate Matter (PM2.5),6.5,8.5,7.3,,,
Summer 2013,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),10.4,14,11.8,,,
Summer 2014,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),8.9,12.3,10.3,,,
Summer 2015,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),9.7,12.4,10.8,,,
Summer 2016,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),8.4,11.2,9.5,,,
Summer 2017,Borough,Manhattan, Manhattan,3,Fine Particulate Matter (PM2.5),9.6,11.6,10.4,,,
