field_1,CD,CDname,Summer2013,Winter2013,Summer2014,Winter2014,Summer2015,Winter2015,Summer2016,Winter2016,Summer2017,Winter2017,Summer2018
"0","101", Financial District ,12.200,14.500,10.900,11.000,11.000,10.300,9.800,9.100,10.500,10.400,10.100
"1","102", Greenwich Village and Soho ,12.100,14.400,10.800,11.100,11.100,10.200,9.900,9.200,10.700,10.300,10.000
"2","103", Lower East Side and Chinatown ,11.300,13.400,10.000,10.300,10.400,9.700,9.200,8.600,10.100,9.400,9.000
"3","104", Clinton and Chelsea ,12.500,14.900,11.100,11.500,11.400,10.200,10.200,9.500,11.000,10.400,10.300
"4","105", Midtown ,15.000,17.400,13.200,13.200,13.100,11.500,11.700,11.100,11.900,12.600,12.800
"5","106", Stuyvesant Town and Turtle Bay ,13.300,15.600,11.700,11.900,11.900,10.600,10.600,9.900,11.100,10.700,10.800
"6","107", Upper West Side ,11.400,13.800,9.800,10.600,10.400,8.800,9.100,8.600,10.100,9.200,9.500
"7","108", Upper East Side ,12.200,14.400,10.500,11.100,11.000,9.300,9.700,9.200,10.400,9.800,10.100
"8","109", Morningside Heights and Hamilton Heights ,10.800,13.200,9.200,10.300,10.000,8.500,8.700,8.300,10.000,8.400,8.900
"9","110", Central Harlem ,10.700,13.000,9.100,10.200,9.900,8.300,8.600,8.200,9.800,8.400,8.900
"10","111", East Harlem ,10.900,13.100,9.300,10.300,10.200,8.600,8.900,8.400,10.000,8.400,8.700
"11","112", Washington Heights and Inwood ,10.500,12.900,8.900,10.300,9.900,8.500,8.400,8.200,9.800,8.300,8.700
"12","201", Mott Haven and Melrose ,11.200,13.400,9.600,10.800,10.600,9.000,9.300,9.000,10.500,9.000,9.400
"13","202", Hunts Point and Longwood ,11.100,13.200,9.400,10.800,10.600,9.000,9.200,9.000,10.400,9.100,9.500
"14","203", Morrisania and Crotona ,10.600,12.800,8.900,10.300,10.000,8.400,8.500,8.400,9.800,8.400,8.800
"15","204", Highbridge and Concourse ,11.100,13.300,9.400,10.700,10.400,8.800,8.900,8.700,10.200,8.700,9.100
"16","205", Fordham and University Heights ,11.100,13.400,9.500,10.800,10.500,9.000,8.900,8.700,10.200,8.700,9.000
"17","206", Belmont and East Tremont ,10.700,12.800,9.100,10.400,10.100,8.600,8.600,8.400,9.800,8.400,8.700
"18","207", Kingsbridge Heights and Bedford ,10.600,12.800,9.000,10.400,9.900,8.500,8.300,8.300,9.600,8.400,8.800
"19","208", Riverdale and Fieldston ,10.000,12.400,8.700,10.200,9.600,8.400,7.900,7.900,9.400,8.000,8.300
"20","209", Parkchester and Soundview ,10.400,12.300,8.600,9.900,9.800,8.100,8.200,8.200,9.400,8.100,8.500
"21","210", Throgs Neck and Co-op City ,10.300,11.900,8.600,9.900,9.700,8.100,8.000,8.200,9.200,8.000,8.300
"22","211", Morris Park and Bronxdale ,10.100,12.100,8.500,9.900,9.600,8.100,7.900,8.100,9.200,8.100,8.500
"23","212", Williamsbridge and Baychester ,10.100,12.200,8.600,10.100,9.700,8.300,7.800,8.000,9.200,8.100,8.300
"24","301", Greenpoint and Williamsburg ,11.600,13.600,10.500,10.900,11.100,10.300,9.900,9.400,10.800,10.200,10.000
"25","302", Fort Greene and Brooklyn Heights ,11.000,13.000,9.900,10.000,10.300,9.800,9.100,8.400,10.000,9.300,8.800
"26","303", Bedford Stuyvesant ,10.400,12.100,9.100,9.300,9.600,8.900,8.400,8.000,9.300,8.700,8.600
"27","304", Bushwick ,10.400,12.100,9.000,9.400,9.600,8.800,8.400,8.100,9.300,8.800,8.800
"28","305", East New York and Starrett City ,10.300,11.600,8.700,9.100,9.500,8.300,8.200,8.100,9.000,8.200,8.400
"29","306", Park Slope and Carroll Gardens ,10.900,12.900,9.900,10.000,10.300,9.900,9.200,8.500,10.200,9.500,9.000
"30","307", Sunset Park ,10.700,12.600,9.600,9.700,10.100,9.500,9.000,8.400,9.900,9.300,8.800
"31","308", Crown Heights and Prospect Heights ,10.300,12.000,9.000,9.200,9.500,8.800,8.300,7.900,9.200,8.700,8.500
"32","309", South Crown Heights and Lefferts Gardens ,10.200,11.800,8.800,8.900,9.300,8.600,8.100,7.700,9.000,8.500,8.300
"33","310", Bay Ridge and Dyker Heights ,9.900,11.800,8.500,8.700,9.200,8.100,8.200,7.500,8.800,8.300,7.900
"34","311", Bensonhurst ,9.800,11.400,8.200,8.400,8.900,7.500,7.800,7.400,8.400,8.100,7.900
"35","312", Borough Park ,10.000,11.700,8.600,8.700,9.200,8.200,8.100,7.600,8.800,8.500,8.200
"36","313", Coney Island ,9.600,11.000,7.900,8.000,8.700,6.900,7.700,7.300,8.100,7.800,7.800
"37","314", Flatbush and Midwood ,10.100,11.600,8.600,8.700,9.200,8.100,8.000,7.600,8.800,8.300,8.200
"38","315", Sheepshead Bay ,9.800,11.000,8.000,8.100,8.800,7.100,7.700,7.400,8.300,7.800,7.900
"39","316", Brownsville ,10.400,11.900,9.000,9.200,9.600,8.700,8.400,8.100,9.200,8.600,8.600
"40","317", East Flatbush ,10.300,11.800,8.900,9.000,9.400,8.500,8.300,7.900,9.100,8.400,8.400
"41","318", Flatlands and Canarsie ,9.800,11.000,8.200,8.300,8.900,7.600,7.800,7.600,8.500,7.900,8.000
"42","401", Long Island City and Astoria ,10.300,12.300,8.800,9.700,9.700,8.200,8.500,8.200,9.500,8.400,8.700
"43","402", Woodside and Sunnyside ,11.600,13.500,10.200,10.900,11.000,9.800,9.800,9.400,10.700,9.800,9.800
"44","403", Jackson Heights ,10.000,11.700,8.200,9.200,9.200,7.700,7.900,7.800,8.800,7.900,8.300
"45","404", Elmhurst and Corona ,10.500,12.000,8.700,9.500,9.600,8.100,8.300,8.200,9.100,8.200,8.500
"46","405", Ridgewood and Maspeth ,10.400,12.000,8.900,9.400,9.700,8.600,8.400,8.200,9.300,8.500,8.700
"47","406", Rego Park and Forest Hills ,10.300,11.700,8.500,9.200,9.400,8.000,8.100,8.000,8.800,8.000,8.400
"48","407", Flushing and Whitestone ,10.100,11.500,8.200,9.300,9.400,7.700,7.800,8.000,8.900,8.000,8.400
"49","408", Hillcrest and Fresh Meadows ,10.000,11.100,8.000,8.800,9.100,7.500,7.600,7.800,8.600,7.600,8.100
"50","409", Kew Gardens and Woodhaven ,10.100,11.300,8.300,8.800,9.200,7.800,7.800,7.900,8.700,7.900,8.200
"51","410", South Ozone Park and Howard Beach ,9.700,10.700,7.900,8.300,8.800,7.300,7.400,7.600,8.300,7.500,7.900
"52","411", Bayside and Little Neck ,9.900,10.900,7.900,8.800,9.100,7.300,7.400,7.800,8.600,7.600,8.000
"53","412", Jamaica and Hollis ,10.100,10.900,8.100,8.600,9.100,7.400,7.500,8.000,8.600,7.700,8.300
"54","413", Queens Village ,9.800,10.300,7.700,8.200,8.800,6.900,7.100,7.700,8.400,7.500,8.100
"55","414", Rockaway and Broad Channel ,9.400,9.900,7.400,7.400,8.300,5.900,6.900,7.300,7.700,7.000,7.800
"56","501", St. George and Stapleton ,9.500,12.000,8.200,8.700,8.900,7.900,8.000,7.200,8.400,8.000,7.700
"57","502", South Beach and Willowbrook ,9.400,11.800,7.900,8.500,8.800,7.500,7.900,7.200,8.200,7.900,7.600
"58","503", Tottenville and Great Kills ,9.100,11.600,7.600,8.100,8.400,7.200,7.500,6.900,7.900,7.600,7.400
