Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Winter 2008-09,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),2.1,7,4.3,,,
Winter 2009-10,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),1.1,4.7,2.9,,,
Winter 2010-11,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),1.8,5.9,3.6,,,
Winter 2011-12,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),0.8,3.5,2,,,
Winter 2012-13,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),0.4,2.3,1.2,,,
Winter 2013-14,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),0.8,2.3,1.4,,,
Winter 2014-15,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),0.3,1.1,0.6,,,
Winter 2015-16,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),0.1,0.3,0.2,,,
Winter 2008-09,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),4.3,11,6.6,,,
Winter 2009-10,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),2.8,7.2,4.3,,,
Winter 2010-11,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),3.5,9.1,5.4,,,
Winter 2011-12,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),2,5.9,3.4,,,
Winter 2012-13,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),1.2,4,2.2,,,
Winter 2013-14,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),1.5,3.2,2.1,,,
Winter 2014-15,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),0.8,1.6,1.1,,,
Winter 2015-16,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),0.2,0.5,0.3,,,
Winter 2008-09,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),3,4.8,3.9,,,
Winter 2009-10,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),2,3.3,2.7,,,
Winter 2010-11,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),2.4,4.1,3.3,,,
Winter 2011-12,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),1.1,2,1.6,,,
Winter 2012-13,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),0.6,1.2,0.9,,,
Winter 2013-14,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),0.8,1.4,1.1,,,
Winter 2014-15,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),0.4,0.6,0.5,,,
Winter 2015-16,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2008-09,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),5.5,12.8,9.2,,,
Winter 2009-10,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),3.7,8.6,6.2,,,
Winter 2010-11,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),4.7,10.8,7.8,,,
Winter 2011-12,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),2.7,6.8,4.8,,,
Winter 2012-13,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),1.5,4.7,3.1,,,
Winter 2013-14,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),1.8,4,2.9,,,
Winter 2014-15,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),0.7,1.6,1.2,,,
Winter 2015-16,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),0.2,0.5,0.4,,,
Winter 2008-09,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),2.8,5.5,4,,,
Winter 2009-10,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),2.1,3.9,2.8,,,
Winter 2010-11,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),2.3,4.8,3.4,,,
Winter 2011-12,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),1.1,2.5,1.7,,,
Winter 2012-13,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),0.6,1.6,1,,,
Winter 2013-14,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),0.9,2,1.5,,,
Winter 2014-15,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),0.3,0.8,0.6,,,
Winter 2015-16,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2008-09,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),1.6,2.6,2.1,,,
Winter 2009-10,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),0.9,1.5,1.2,,,
Winter 2010-11,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),1.4,2.1,1.8,,,
Winter 2011-12,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),0.6,1.1,0.8,,,
Winter 2012-13,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),0.4,0.5,0.4,,,
Winter 2013-14,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),0.7,1,0.8,,,
Winter 2014-15,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2014-15,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Sulfur Dioxide (SO2),0.5,0.6,0.6,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Sulfur Dioxide (SO2),0.5,0.5,0.5,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Sulfur Dioxide (SO2),0.4,0.5,0.4,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Sulfur Dioxide (SO2),0.5,0.5,0.5,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Sulfur Dioxide (SO2),0.4,0.4,0.4,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Sulfur Dioxide (SO2),0.9,1.3,1.1,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Sulfur Dioxide (SO2),0.3,0.4,0.4,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Sulfur Dioxide (SO2),0.7,1.4,1,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Sulfur Dioxide (SO2),0.2,0.5,0.3,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Sulfur Dioxide (SO2),0.4,0.5,0.4,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Sulfur Dioxide (SO2),0.4,0.5,0.5,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Sulfur Dioxide (SO2),0.4,0.6,0.5,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, East Harlem,303,Sulfur Dioxide (SO2),0.8,1.2,1,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, East Harlem,303,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, East New York,204,Sulfur Dioxide (SO2),0.4,0.5,0.5,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East New York,204,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2014-15,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Sulfur Dioxide (SO2),0.6,0.9,0.7,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2014-15,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Sulfur Dioxide (SO2),1.1,2,1.5,,,
Winter 2015-16,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Sulfur Dioxide (SO2),0.3,0.6,0.5,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Sulfur Dioxide (SO2),0.5,0.6,0.6,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
